,eng,it
3_1A_4,Look around and analyze the room carefully.,Guardati attorno e analizza la stanza attentamente.
3_3A_1,"You're almost there, the objective is just a few steps away.","Ci sei quasi, l'obbiettivo è a pochi passi da te."
3_3A_2,We don’t know how many terrorists are still on this floor.,Non sappiamo quanti terroristi ci siano ancora su questo piano.
3_3A_3,Rely on your powers.,Fai affidamento sui tuoi poteri.
3_3B_1,The exit should be just around the corner.,L'uscita dovrebbe essere dietro l'angolo.
3_3B_2,Stay focused and don’t get spotted!,Concentrati e non farti scoprire!
3_3B_3,"The door is right in front of you, don’t waste time!","La porta è davanti a te, non perdere tempo!"
intro_1,"Noveria, Theskar,","Noveria, Theskar"
intro_2,"Following the fall of the meteorite HED near the city, which caused the deaths of numerous people,","In seguito alla caduta del meteorite HED nei pressi della città, che ha causato la morte di numerose persone,"
intro_3,a small portion of the survivors developed extraordinary physical and mental abilities.,una piccola parte dei sopravvissuti ha sviluppato capacità fisiche e mentali fuori dal comune.
intro_4,"These mutations, highly unpredictable, have also emerged years after the event.","Tali mutazioni, altamente imprevedibili, sono emerse anche a diversi anni di distanza dall’evento."
intro_5,The government and TARS (Theskar Agency for Research and Science) continue to study how to manipulate,Il governo e l’agenzia TARS (Theskar Agency for Research and Science) continuano a studiare un modo per manipolare
intro_6,the meteorite fragments in order to gain an advantage.,"i frammenti di meteorite, al fine di trarne un vantaggio."
2_INIT_1,We managed to access the footage from the lab's perimeter.,"Siamo riusciti ad accedere ai filmati del perimetro del laboratorio,"
2_INIT_2,"The terrorists moved quickly, neutralized the guards protecting the entrance, and made their way inside.","I terroristi si sono mossi velocemente, hanno neutralizzato le guardie che proteggevano l’entrata e sono penetrati all’interno."
2_INIT_3,"However, we've discovered a crucial detail: one of them threw a guard without touching him.",Abbiamo però scoperto un dettaglio di estrema importanza: uno di loro ha proiettato una guardia senza toccarla.
2_INIT_4,"We assume he has powers similar to yours. The situation is getting more complicated, ","Ipotizziamo che abbia poteri simili ai tuoi. La situazione si fa più complessa, "
2_INIT_5,"if they’ve taken such a risk, they must be aware of the dangers and likely have an escape plan.",se hanno rischiato così tanto conoscono i loro limiti e avranno un piano di fuga.
2_INIT_6,"Let’s not waste any more time. We’ll continue the investigation,  you proceed with the mission.","Non perdiamo troppo tempo, continueremo ad indagare, tu vai avanti con la missione."
3_INIT_1,We have an update. The individual leading the OverHED expedition has contacted us.,Abbiamo degli aggiornamenti. L'individuo a capo della spedizione della OverHED ci ha contattati.
3_INIT_2,"The terrorists have blackmailed the government, demanding the immediate cessation of meteorite research conducted by TARS.",I terroristi hanno ricattato il governo chiedendo la cessazione immediata delle ricerche sul meteorite da parte della TARS. 
3_INIT_3,"If this does not happen within 4 hours, they will publish all the material they gathered during their incursion.",Se ciò non avverrà entro 4 ore pubblicheranno tutto il materiale a loro disposizione raccolto durante la loro incursione.
3_INIT_4,Not even our division knows what is really going on inside the TARS laboratories.,Nemmeno la nostra sezione conosce ciò che avviene effettivamente nei laboratori della TARS.
3_INIT_5,The government seems quite concerned and has no intention of giving in to the blackmail.,"Il governo sembra piuttosto preoccupato ma non intende cedere al ricatto,"
3_INIT_6,"If the mission is not completed in time, they are even willing to level the entire building.","se la missione non verrà completata in tempo, sono disposti anche a radere al suolo l'intero edificio."
3_INIT_7,"We risk an escalation,  we must stop them immediately.","Rischiamo un'escalation, dobbiamo immediatamente fermarli."
